iter	Logloss
0	0.6533633249
1	0.6213210141
2	0.5941414583
3	0.5722038162
4	0.5540435218
5	0.5382599535
6	0.5255058776
7	0.5145411405
8	0.5062331826
9	0.498772326
10	0.4928000992
11	0.4873873489
12	0.4830151368
13	0.4795557911
14	0.4765278682
15	0.4741195896
16	0.4716729082
17	0.4698754909
18	0.4679540088
19	0.4662422067
20	0.4646558801
21	0.4632776767
22	0.4620579851
23	0.4611769734
24	0.4602308948
25	0.4592857931
26	0.4584808814
27	0.4579817839
28	0.4574014814
29	0.4569566759
30	0.4562902841
31	0.4559638646
32	0.4557159546
33	0.4553078674
34	0.4550761769
35	0.4547182554
36	0.4544360093
37	0.4540886733
38	0.4538051361
39	0.453450317
40	0.4531852087
41	0.4529734325
42	0.4526862196
43	0.4523386304
44	0.4520267558
45	0.4518125454
46	0.4515502477
47	0.4512804541
48	0.4509834175
49	0.4508466871
50	0.4506192906
51	0.4504861117
52	0.4502900788
53	0.4500906413
54	0.449928568
55	0.4497815675
56	0.4496685943
57	0.4494858586
58	0.4493739052
59	0.4492718231
60	0.4491186077
61	0.448940213
62	0.4488099608
63	0.4486292264
64	0.4483837063
65	0.4481983512
66	0.4480388737
67	0.4479037015
68	0.4478394675
69	0.4476267993
70	0.4475044832
71	0.4473275192
72	0.4472855493
73	0.4471439083
74	0.446979894
75	0.4468497804
76	0.4467484608
77	0.4466756717
78	0.4466039665
79	0.4464595923
80	0.44632337
81	0.4461445131
82	0.4459748372
83	0.4457430518
84	0.4456859297
85	0.4454951689
86	0.4453935909
87	0.445226184
88	0.4451666542
89	0.445064624
90	0.444912644
91	0.4447705668
92	0.4446125447
93	0.4444397114
94	0.4442669392
95	0.4441113621
96	0.4439887739
97	0.4437705169
98	0.4436404825
99	0.4435270725
100	0.443382704
101	0.4432375344
102	0.4431330413
103	0.4429815063
104	0.4428197942
105	0.4426701517
106	0.442599801
107	0.4424852846
108	0.4423194693
109	0.4421604853
110	0.4419963609
111	0.4419095954
112	0.4417882805
113	0.4416250058
114	0.4414438161
115	0.4413222077
116	0.4411453141
117	0.4409984212
118	0.4409088911
119	0.4408062838
120	0.4406673369
121	0.4405395557
122	0.4403848131
123	0.4402471926
124	0.4401661872
125	0.4399793274
126	0.4398850297
127	0.4397904513
128	0.4397276387
129	0.4395960922
130	0.4394212168
131	0.4392297706
132	0.4390417809
133	0.4389212722
134	0.438797715
135	0.4386727912
136	0.4384779707
137	0.4383668711
138	0.4381895857
139	0.438068145
140	0.4379541041
141	0.4378280815
142	0.4376952234
