iter	Passed	Remaining
0	19	19512
1	37	18704
2	56	18727
3	73	18239
4	87	17447
5	100	16570
6	111	15867
7	122	15183
8	134	14780
9	144	14288
10	153	13837
11	163	13464
12	173	13157
13	182	12863
14	192	12611
15	201	12401
16	211	12203
17	220	12042
18	230	11885
19	240	11768
20	250	11691
21	260	11592
22	270	11472
23	279	11370
24	289	11276
25	299	11209
26	309	11147
27	317	11011
28	327	10957
29	337	10904
30	346	10843
31	356	10794
32	366	10749
33	378	10741
34	389	10734
35	400	10726
36	410	10684
37	421	10671
38	432	10657
39	444	10656
40	456	10674
41	466	10649
42	477	10631
43	489	10644
44	500	10631
45	511	10614
46	523	10610
47	533	10588
48	545	10588
49	555	10552
50	565	10529
51	576	10509
52	587	10501
53	598	10482
54	608	10454
55	619	10447
56	630	10436
57	640	10407
58	651	10383
59	660	10347
60	670	10316
61	680	10293
62	689	10251
63	698	10219
64	708	10191
65	718	10161
66	727	10134
67	737	10106
68	746	10078
69	756	10055
70	766	10027
71	775	9995
72	783	9952
73	793	9925
74	804	9918
75	814	9906
76	825	9889
77	835	9880
78	846	9868
79	856	9850
80	867	9839
81	878	9829
82	888	9818
83	898	9796
84	907	9770
85	917	9753
86	927	9732
87	938	9723
88	947	9695
89	956	9675
90	966	9657
91	976	9642
92	986	9620
93	996	9603
94	1006	9589
95	1018	9588
96	1029	9586
97	1041	9587
98	1053	9584
99	1063	9574
100	1075	9571
101	1086	9568
102	1097	9557
103	1108	9552
104	1119	9544
105	1130	9534
106	1141	9529
107	1152	9521
108	1164	9522
109	1176	9519
110	1188	9519
111	1199	9508
112	1209	9493
113	1219	9479
114	1230	9472
115	1240	9455
116	1251	9445
117	1261	9429
118	1271	9410
119	1282	9407
120	1294	9401
121	1305	9398
122	1316	9385
123	1325	9364
124	1335	9349
125	1345	9334
126	1354	9313
127	1364	9296
128	1373	9274
129	1383	9260
130	1394	9251
131	1404	9236
132	1414	9224
133	1424	9206
134	1434	9188
135	1444	9177
136	1455	9167
137	1464	9150
138	1474	9136
139	1484	9119
140	1494	9105
141	1504	9088
142	1515	9079
143	1526	9073
144	1536	9059
145	1546	9043
146	1555	9027
147	1565	9009
148	1574	8992
149	1584	8978
150	1593	8961
151	1603	8945
152	1612	8927
153	1622	8913
154	1632	8898
155	1642	8885
156	1652	8870
157	1661	8852
158	1670	8833
159	1678	8813
160	1688	8796
161	1697	8778
162	1706	8764
163	1716	8749
164	1726	8736
165	1736	8723
166	1745	8707
167	1755	8693
168	1764	8678
169	1774	8664
170	1784	8649
171	1794	8636
172	1803	8622
173	1813	8609
174	1824	8601
175	1834	8590
176	1844	8576
177	1854	8562
178	1864	8551
179	1874	8539
180	1885	8529
181	1894	8517
182	1905	8507
183	1915	8492
184	1924	8479
185	1934	8467
186	1944	8454
187	1954	8440
188	1963	8426
189	1973	8413
190	1982	8398
191	1992	8384
192	2002	8372
193	2012	8359
194	2021	8345
195	2031	8333
196	2040	8318
197	2050	8306
198	2060	8293
199	2069	8279
200	2079	8266
201	2089	8255
202	2099	8242
203	2109	8232
204	2120	8221
205	2130	8213
206	2140	8201
207	2150	8188
208	2160	8175
209	2170	8166
210	2180	8153
211	2190	8141
212	2200	8129
213	2209	8116
214	2220	8105
215	2230	8094
216	2239	8081
217	2249	8069
218	2258	8055
219	2268	8044
220	2280	8037
221	2290	8027
222	2301	8017
223	2311	8006
224	2321	7994
225	2331	7985
226	2341	7974
227	2351	7961
228	2361	7950
229	2370	7937
230	2380	7925
231	2390	7913
232	2400	7901
233	2410	7890
234	2419	7877
235	2429	7866
236	2440	7858
237	2450	7846
238	2460	7836
239	2470	7824
240	2481	7814
241	2490	7801
242	2501	7792
243	2511	7781
244	2521	7770
245	2531	7759
246	2541	7747
247	2551	7736
248	2561	7725
249	2571	7714
250	2581	7704
251	2591	7693
252	2601	7680
253	2610	7668
254	2621	7658
255	2631	7647
256	2640	7634
257	2650	7622
258	2659	7610
259	2669	7597
260	2678	7585
261	2689	7574
262	2699	7563
263	2708	7552
264	2718	7540
265	2728	7527
266	2738	7516
267	2747	7504
268	2757	7492
269	2767	7481
270	2776	7469
271	2787	7459
272	2797	7450
273	2808	7440
274	2818	7430
275	2828	7419
276	2838	7409
277	2847	7396
278	2857	7384
279	2867	7373
280	2877	7361
281	2886	7350
282	2897	7340
283	2907	7330
284	2918	7322
285	2928	7310
286	2938	7299
287	2947	7287
288	2958	7277
289	2967	7266
290	2977	7254
291	2987	7242
292	2995	7228
293	3005	7217
294	3015	7207
295	3025	7196
296	3035	7186
297	3046	7176
298	3055	7164
299	3065	7153
300	3075	7142
301	3085	7132
302	3095	7121
303	3106	7111
304	3116	7101
305	3126	7091
306	3137	7082
307	3147	7071
308	3159	7064
309	3169	7053
310	3179	7043
311	3189	7033
312	3199	7021
313	3208	7010
314	3218	6999
315	3228	6988
316	3238	6978
317	3249	6968
318	3258	6956
319	3269	6947
